symbol,currency,categoryName,currencyProfit,quoteId,quoteIdCross,marginMode,profitMode,pipsPrecision,contractSize,exemode,time,expiration,stopsLevel,precision,swapType,stepRuleId,type,instantMaxVolume,groupName,description,longOnly,trailingEnabled,marginHedgedStrong,swapEnable,percentage,bid,ask,high,low,lotMin,lotMax,lotStep,tickSize,tickValue,swapLong,swapShort,leverage,spreadRaw,spreadTable,starting,swap_rollover3days,marginMaintenance,marginHedged,initialMargin,timeString,shortSelling,currencyPair
TGNA.US_9,USD,STC,USD,6,15,104,6,2,1,1,1738961970323,,0,2,2,12,2436,2147483647,US,TEGNA Inc,True,False,False,True,100.0,18.21,18.23,18.34,17.84,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.02,2.0,,0,0,0,0,Fri Feb 07 21:59:30 CET 2025,False,False
FUTU.US_9,USD,STC,USD,6,15,104,6,2,1,1,1738961998387,,0,2,2,12,2436,2147483647,US,Futu Holdings Ltd - ADR,True,False,False,True,100.0,105.87,106.16,106.86,99.95,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.29,29.0,,0,0,0,0,Fri Feb 07 21:59:58 CET 2025,False,False
BMRN.US_9,USD,STC,USD,6,15,104,6,2,1,1,1738961988363,,0,2,2,12,2436,2147483647,US,BioMarin Pharmaceutical Inc,True,False,False,True,100.0,64.28,64.36,64.94,63.66,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.08,8.0,,0,0,0,0,Fri Feb 07 21:59:48 CET 2025,False,False
SIRI.US_9,USD,STC,USD,6,15,104,6,2,1,1,1738962897693,,0,2,2,12,2436,2147483647,US,Sirius XM Holdings Inc,True,False,False,True,100.0,25.41,25.43,25.88,20.0,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.02,2.0,,0,0,0,0,Fri Feb 07 22:14:57 CET 2025,False,False
HALO.US_4,USD,STC,USD,6,4,103,6,2,1,1,1738961995381,,0,2,2,671,13,2147483647,US,Halozyme Therapeutics Inc CFD,False,False,False,True,100.0,57.03,57.29,57.87,56.69,1.0,1000000.0,1.0,0.01,0.01,-0.02458,-0.00042,30.0,0.26,26.0,,0,0,0,0,Fri Feb 07 21:59:55 CET 2025,True,False
DEA.US_4,USD,STC,USD,6,4,103,6,2,1,1,1738961642561,,0,2,2,671,13,2147483647,US,Easterly Government Properties Inc CFD,False,False,False,True,100.0,10.82,10.87,10.85,10.66,1.0,1000000.0,1.0,0.01,0.01,-0.02458,-0.00042,20.0,0.05,5.0,,0,0,0,0,Fri Feb 07 21:54:02 CET 2025,True,False
GEO.US_9,USD,STC,USD,6,15,104,6,2,1,1,1738961994879,,0,2,2,12,2436,2147483647,US,GEO Group Inc/The,True,False,False,True,100.0,26.86,26.88,27.59,26.55,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.02,2.0,,0,0,0,0,Fri Feb 07 21:59:54 CET 2025,False,False
SKFB.SE_9,SEK,STC,SEK,6,15,104,6,2,1,1,1738946392760,,0,2,2,225,2432,2147483647,Sweden,SKF AB,True,False,False,True,100.0,217.6,217.7,222.1,216.9,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.1,10.0,,0,0,0,0,Fri Feb 07 17:39:52 CET 2025,False,False
EXPD.US_4,USD,STC,USD,6,4,103,6,2,1,1,1738961965814,,0,2,2,671,13,2147483647,US,Expeditors International of Wa CFD,False,False,False,True,100.0,110.41,110.92,111.18,109.12,1.0,1000000.0,1.0,0.01,0.01,-0.02458,-0.00042,20.0,0.51,51.0,,0,0,0,0,Fri Feb 07 21:59:25 CET 2025,True,False
WCC.US_4,USD,STC,USD,6,4,103,6,2,1,1,1738961962809,,0,2,2,671,13,2147483647,US,Wesco International Inc CFD,False,False,False,True,100.0,184.89,185.61,188.91,184.02,1.0,1000000.0,1.0,0.01,0.01,-0.02458,-0.00042,30.0,0.72,72.0,,0,0,0,0,Fri Feb 07 21:59:22 CET 2025,True,False
